id,airport,name,address,city,zip,lat,lon,dist_mi,rooms_approx,class,shuttle,surge_tier,best_windows,addr_confidence,notes
tpa-01,TPA,Tampa Airport Marriott,"Tampa International Airport Main Terminal",Tampa,33607,27.9757,-82.5340,0.1,400,full_service,none,A,"05:00-08:00;17:30-21:30",high,"In-terminal. Guests walk to their flights so no airport runs - but heavy dinner/downtown/Ybor demand and misconnect walk-ups late."
tpa-02,TPA,Tampa Marriott Westshore,"1001 N Westshore Blvd",Tampa,33607,27.9585,-82.5262,1.6,310,full_service,none,A,"04:45-07:30;17:30-21:00",high,"No shuttle plus corporate base equals reliable morning airport runs. Anchor of the Westshore cluster."
tpa-03,TPA,Hilton Tampa Airport Westshore,"2225 N Lois Ave",Tampa,33607,27.9600,-82.5175,2.0,238,full_service,limited_hours,A,"04:30-06:00;21:00-23:30",medium,"Shuttle does not run early or late - those are exactly your windows."
tpa-04,TPA,Grand Hyatt Tampa Bay,"2900 Bayport Dr",Tampa,33607,27.9628,-82.5460,1.5,445,resort,free,A,"18:00-22:00;event days",medium,"Large resort/conference property on the bay. Shuttle kills airport runs but dinner and event outflow is strong."
tpa-05,TPA,Renaissance Tampa International Plaza,"4200 Jim Walter Blvd",Tampa,33607,27.9614,-82.5253,1.8,293,full_service,none,A,"05:00-07:30;18:00-22:00",medium,"Attached to International Plaza mall. No shuttle. Shoppers and diners on top of hotel guests."
tpa-06,TPA,DoubleTree by Hilton Tampa Airport Westshore,"4500 W Cypress St",Tampa,33607,27.9560,-82.5190,2.0,489,full_service,free,A,"04:30-05:30;22:00-00:00",medium,"Largest room count in the cluster. Volume alone produces spillover when the shuttle is full or off-hours."
tpa-07,TPA,Embassy Suites by Hilton Tampa Airport Westshore,"555 N Westshore Blvd",Tampa,33609,27.9540,-82.5262,2.2,221,full_service,free,B,"05:00-06:00;18:30-21:30",medium,"All-suite, longer stays. Shuttle-served so lean on evening dining runs."
tpa-08,TPA,The Westin Tampa Bay,"7627 Courtney Campbell Cswy",Tampa,33607,27.9662,-82.5590,2.4,255,full_service,free,B,"18:00-21:30",medium,"On the causeway. Somewhat stranded - guests rideshare for anything off-property."
tpa-09,TPA,Crowne Plaza Tampa Westshore,"5303 W Kennedy Blvd",Tampa,33609,27.9455,-82.5290,2.8,222,full_service,none,B,"05:00-07:30;17:30-20:30",medium,"No shuttle. Southern edge of Westshore, good bridge toward Hyde Park demand."
tpa-10,TPA,Four Points by Sheraton Suites Tampa Airport Westshore,"4400 W Cypress St",Tampa,33607,27.9560,-82.5180,2.0,150,select_service,free,B,"04:30-06:00;21:30-23:30",high,"Off-hours only - shuttle covers the middle of the day."
tpa-11,TPA,Hampton Inn Tampa International Airport/Westshore,"4817 W Laurel St",Tampa,33607,27.9600,-82.5240,1.2,134,select_service,free,B,"04:30-05:45;22:00-23:30",high,"Closest of the select-service properties. Shuttle-served."
tpa-12,TPA,Courtyard Tampa Westshore/Airport,"3805 W Cypress St",Tampa,33607,27.9560,-82.5115,2.4,145,select_service,none,B,"05:00-07:30",medium,"No shuttle - punches above its size for morning airport runs."
tpa-13,TPA,Residence Inn Tampa Airport Westshore,"4312 W Boy Scout Blvd",Tampa,33607,27.9585,-82.5170,2.1,102,select_service,none,B,"05:30-08:00;18:00-20:30",medium,"Extended stay. Grocery and dinner runs midweek evenings."
tpa-14,TPA,Ramada by Wyndham Tampa Airport Westshore,"1200 N Westshore Blvd",Tampa,33607,27.9590,-82.5262,1.5,180,budget,free,C,"04:30-05:30",high,"Budget tier - riders more price-sensitive, surge captures are thinner."
tpa-15,TPA,TownePlace Suites Tampa Westshore/Airport,"4155 W Boy Scout Blvd",Tampa,33607,27.9590,-82.5145,2.3,94,select_service,free,C,"05:30-07:30",low,"Small extended-stay. Fill-in only."
tpa-16,TPA,La Quinta Inn & Suites Tampa Airport Stadium Westshore,"4730 W Spruce St",Tampa,33607,27.9585,-82.5230,1.2,116,budget,free,C,"event days",medium,"Best on Raymond James Stadium event days rather than as a standing spot."
tpa-17,TPA,Homewood Suites by Hilton Tampa Airport Westshore,"4750 N Dale Mabry Hwy",Tampa,33614,27.9820,-82.5060,2.6,126,select_service,free,C,"05:30-07:30",low,"Northern edge. Weaker than the core Westshore block."
tpa-18,TPA,Holiday Inn Express Tampa Stadium/Airport,"4732 N Dale Mabry Hwy",Tampa,33614,27.9800,-82.5060,2.7,120,select_service,none,C,"05:30-07:30;event days",low,"Pairs with the stadium calendar."
pie-01,PIE,Comfort Inn & Suites St. Pete-Clearwater International Airport,"3910 Ulmerton Rd",Clearwater,33762,27.8930,-82.6810,1.8,120,select_service,limited_hours,A,"03:30-05:30;22:00-00:30",high,"Allegiant red-eye schedule means very early and very late runs when the shuttle is dark. Best PIE spot."
pie-02,PIE,SpringHill Suites St. Petersburg Clearwater,"3485 Ulmerton Rd",Clearwater,33762,27.8935,-82.6880,1.6,120,select_service,none,A,"03:30-05:30;21:30-23:30",high,"No shuttle and closest to the field. Pairs with pie-01 on the same corridor."
